Country,WHO_Region,Year,Water_Access_Percent
Albania,Europe,2000,49.29324
Albania,Europe,2001,49.21738
Albania,Europe,2002,49.08154
Albania,Europe,2003,48.94225
Albania,Europe,2004,50.73476
Albania,Europe,2005,52.55115
Albania,Europe,2006,54.39092
Albania,Europe,2007,56.25379
Albania,Europe,2008,58.13945
Albania,Europe,2009,60.04764
Albania,Europe,2010,61.97766
Albania,Europe,2011,63.9291
Albania,Europe,2012,65.9014
Albania,Europe,2013,67.89334
Albania,Europe,2014,69.9037
Albania,Europe,2015,69.9445
Albania,Europe,2016,69.98433
Albania,Europe,2017,70.02315
Andorra,Europe,2000,90.64
Andorra,Europe,2001,90.64
Andorra,Europe,2002,90.64
Andorra,Europe,2003,90.64
Andorra,Europe,2004,90.64
Andorra,Europe,2005,90.64
Andorra,Europe,2006,90.64001
Andorra,Europe,2007,90.64
Andorra,Europe,2008,90.64
Andorra,Europe,2009,90.64
Andorra,Europe,2010,90.64
Andorra,Europe,2011,90.64
Andorra,Europe,2012,90.64
Andorra,Europe,2013,90.64
Andorra,Europe,2014,90.64
Andorra,Europe,2015,90.64
Andorra,Europe,2016,90.64
Andorra,Europe,2017,90.64
Armenia,Europe,2000,29.59756
Armenia,Europe,2001,29.74282
Armenia,Europe,2002,33.29816
Armenia,Europe,2003,36.84346
Armenia,Europe,2004,40.39033
Armenia,Europe,2005,43.93894
Armenia,Europe,2006,47.48906
Armenia,Europe,2007,51.04095
Armenia,Europe,2008,54.59447
Armenia,Europe,2009,58.14978
Armenia,Europe,2010,61.70686
Armenia,Europe,2011,65.26573
Armenia,Europe,2012,68.82645
Armenia,Europe,2013,72.391
Armenia,Europe,2014,75.96124
Armenia,Europe,2015,79.43497
Armenia,Europe,2016,83.00597
Armenia,Europe,2017,86.47636
Austria,Europe,2000,97.71394
Austria,Europe,2001,97.79684
Austria,Europe,2002,97.87975
Austria,Europe,2003,97.96266
Austria,Europe,2004,98.04557
Austria,Europe,2005,98.12848
Austria,Europe,2006,98.21139
Austria,Europe,2007,98.2943
Austria,Europe,2008,98.37721
Austria,Europe,2009,98.46012
Austria,Europe,2010,98.54304
Austria,Europe,2011,98.62595
Austria,Europe,2012,98.70885
Austria,Europe,2013,98.79176
Austria,Europe,2014,98.87468
Austria,Europe,2015,98.90942
Austria,Europe,2016,98.90781
Austria,Europe,2017,98.9062
Azerbaijan,Europe,2000,49.67768
Azerbaijan,Europe,2001,50.13332
Azerbaijan,Europe,2002,50.58627
Azerbaijan,Europe,2003,51.03687
Azerbaijan,Europe,2004,53.46619
Azerbaijan,Europe,2005,55.92712
Azerbaijan,Europe,2006,58.41952
Azerbaijan,Europe,2007,60.94326
Azerbaijan,Europe,2008,63.49772
Azerbaijan,Europe,2009,66.08279
Azerbaijan,Europe,2010,68.70055
Azerbaijan,Europe,2011,70.32202
Azerbaijan,Europe,2012,70.85237
Azerbaijan,Europe,2013,71.38736
Azerbaijan,Europe,2014,71.92628
Azerbaijan,Europe,2015,72.46891
Azerbaijan,Europe,2016,73.015
Azerbaijan,Europe,2017,73.56433
Bahrain,Eastern Mediterranean,2000,98.79928
Bahrain,Eastern Mediterranean,2001,98.82163
Bahrain,Eastern Mediterranean,2002,98.84398
Bahrain,Eastern Mediterranean,2003,98.86634
Bahrain,Eastern Mediterranean,2004,98.88869
Bahrain,Eastern Mediterranean,2005,98.91106
Bahrain,Eastern Mediterranean,2006,98.93342
Bahrain,Eastern Mediterranean,2007,98.95218
Bahrain,Eastern Mediterranean,2008,98.96217
Bahrain,Eastern Mediterranean,2009,98.97216
Bahrain,Eastern Mediterranean,2010,98.98215
Bahrain,Eastern Mediterranean,2011,98.98326
Bahrain,Eastern Mediterranean,2012,98.98326
Bahrain,Eastern Mediterranean,2013,98.98326
Bahrain,Eastern Mediterranean,2014,98.98326
Bahrain,Eastern Mediterranean,2015,98.98326
Bahrain,Eastern Mediterranean,2016,98.98326
Bahrain,Eastern Mediterranean,2017,98.98326
Bangladesh,South-East Asia,2000,55.9067
Bangladesh,South-East Asia,2001,55.92532
Bangladesh,South-East Asia,2002,55.91951
Bangladesh,South-East Asia,2003,55.91014
Bangladesh,South-East Asia,2004,55.89733
Bangladesh,South-East Asia,2005,55.88136
Bangladesh,South-East Asia,2006,55.86171
Bangladesh,South-East Asia,2007,55.83849
Bangladesh,South-East Asia,2008,55.81183
Bangladesh,South-East Asia,2009,55.78184
Bangladesh,South-East Asia,2010,55.74816
Bangladesh,South-East Asia,2011,55.71107
Bangladesh,South-East Asia,2012,55.67136
Bangladesh,South-East Asia,2013,55.62967
Bangladesh,South-East Asia,2014,55.58548
Bangladesh,South-East Asia,2015,55.53946
Bangladesh,South-East Asia,2016,55.49126
Bangladesh,South-East Asia,2017,55.44123
Belarus,Europe,2000,80.62173
Belarus,Europe,2001,80.80693
Belarus,Europe,2002,80.9906
Belarus,Europe,2003,81.17236
Belarus,Europe,2004,82.53634
Belarus,Europe,2005,83.86742
Belarus,Europe,2006,85.16609
Belarus,Europe,2007,86.43282
Belarus,Europe,2008,87.6683
Belarus,Europe,2009,88.87239
Belarus,Europe,2010,90.05457
Belarus,Europe,2011,91.20509
Belarus,Europe,2012,92.32056
Belarus,Europe,2013,93.40166
Belarus,Europe,2014,94.44904
Belarus,Europe,2015,94.47331
Belarus,Europe,2016,94.49743
Belarus,Europe,2017,94.52139
Belgium,Europe,2000,99.52319
Belgium,Europe,2001,99.52318
Belgium,Europe,2002,99.52319
Belgium,Europe,2003,99.52319
Belgium,Europe,2004,99.52319
Belgium,Europe,2005,99.52319
Belgium,Europe,2006,99.52319
Belgium,Europe,2007,99.52319
Belgium,Europe,2008,99.52319
Belgium,Europe,2009,99.52319
Belgium,Europe,2010,99.52319
Belgium,Europe,2011,99.52319
Belgium,Europe,2012,99.52319
Belgium,Europe,2013,99.52319
Belgium,Europe,2014,99.52319
Belgium,Europe,2015,99.52319
Belgium,Europe,2016,99.52319
Belgium,Europe,2017,99.52319
Bhutan,South-East Asia,2000,28.55129
Bhutan,South-East Asia,2001,29.12169
Bhutan,South-East Asia,2002,29.69176
Bhutan,South-East Asia,2003,30.2612
Bhutan,South-East Asia,2004,30.82995
Bhutan,South-East Asia,2005,31.3862
Bhutan,South-East Asia,2006,31.83981
Bhutan,South-East Asia,2007,32.29049
Bhutan,South-East Asia,2008,32.7381
Bhutan,South-East Asia,2009,33.18185
Bhutan,South-East Asia,2010,33.62213
Bhutan,South-East Asia,2011,34.05882
Bhutan,South-East Asia,2012,34.48847
Bhutan,South-East Asia,2013,34.91069
Bhutan,South-East Asia,2014,35.32534
Bhutan,South-East Asia,2015,35.72396
Bhutan,South-East Asia,2016,35.99732
Bhutan,South-East Asia,2017,36.16311
Bosnia and Herzegovina,Europe,2000,87.34998
Bosnia and Herzegovina,Europe,2001,87.47272
Bosnia and Herzegovina,Europe,2002,87.59462
Bosnia and Herzegovina,Europe,2003,87.71558
Bosnia and Herzegovina,Europe,2004,87.83569
Bosnia and Herzegovina,Europe,2005,87.95483
Bosnia and Herzegovina,Europe,2006,88.07303
Bosnia and Herzegovina,Europe,2007,88.19037
Bosnia and Herzegovina,Europe,2008,88.30676
Bosnia and Herzegovina,Europe,2009,88.42222
Bosnia and Herzegovina,Europe,2010,88.53674
Bosnia and Herzegovina,Europe,2011,88.65034
Bosnia and Herzegovina,Europe,2012,88.70229
Bosnia and Herzegovina,Europe,2013,88.79768
Bosnia and Herzegovina,Europe,2014,88.81718
Bosnia and Herzegovina,Europe,2015,88.82513
Bosnia and Herzegovina,Europe,2016,88.83336
Bosnia and Herzegovina,Europe,2017,88.8419
Bulgaria,Europe,2000,96.83743
Bulgaria,Europe,2001,96.83825
Bulgaria,Europe,2002,96.83501
Bulgaria,Europe,2003,96.80889
Bulgaria,Europe,2004,96.76394
Bulgaria,Europe,2005,96.71947
Bulgaria,Europe,2006,96.6755
Bulgaria,Europe,2007,96.632
Bulgaria,Europe,2008,96.589
Bulgaria,Europe,2009,96.70982
Bulgaria,Europe,2010,96.83096
Bulgaria,Europe,2011,96.95243
Bulgaria,Europe,2012,97.07426
Bulgaria,Europe,2013,97.03456
Bulgaria,Europe,2014,97.01165
Bulgaria,Europe,2015,96.98926
Bulgaria,Europe,2016,96.96734
Bulgaria,Europe,2017,96.94594
Cambodia,Western Pacific,2000,16.87518
Cambodia,Western Pacific,2001,17.3384
Cambodia,Western Pacific,2002,17.80264
Cambodia,Western Pacific,2003,18.26786
Cambodia,Western Pacific,2004,18.73443
Cambodia,Western Pacific,2005,19.20236
Cambodia,Western Pacific,2006,19.6713
Cambodia,Western Pacific,2007,20.14162
Cambodia,Western Pacific,2008,20.62666
Cambodia,Western Pacific,2009,21.18638
Cambodia,Western Pacific,2010,21.75101
Cambodia,Western Pacific,2011,22.32062
Cambodia,Western Pacific,2012,22.89527
Cambodia,Western Pacific,2013,23.47464
Cambodia,Western Pacific,2014,24.05955
Cambodia,Western Pacific,2015,24.6497
Cambodia,Western Pacific,2016,25.24514
Cambodia,Western Pacific,2017,25.84555
Canada,Americas,2000,98.21185
Canada,Americas,2001,98.21967
Canada,Americas,2002,98.22151
Canada,Americas,2003,98.22337
Canada,Americas,2004,98.22521
Canada,Americas,2005,98.27436
Canada,Americas,2006,98.32373
Canada,Americas,2007,98.37495
Canada,Americas,2008,98.42589
Canada,Americas,2009,98.47654
Canada,Americas,2010,98.52692
Canada,Americas,2011,98.57668
Canada,Americas,2012,98.62414
Canada,Americas,2013,98.67155
Canada,Americas,2014,98.71889
Canada,Americas,2015,98.76622
Canada,Americas,2016,98.8135
Canada,Americas,2017,98.86086
Chile,Americas,2000,91.96177
Chile,Americas,2001,92.49178
Chile,Americas,2002,92.99738
Chile,Americas,2003,93.4314
Chile,Americas,2004,93.86896
Chile,Americas,2005,94.30896
Chile,Americas,2006,94.75235
Chile,Americas,2007,95.19843
Chile,Americas,2008,95.6477
Chile,Americas,2009,96.09956
Chile,Americas,2010,96.55402
Chile,Americas,2011,97.01143
Chile,Americas,2012,97.47133
Chile,Americas,2013,97.93385
Chile,Americas,2014,98.31007
Chile,Americas,2015,98.4758
Chile,Americas,2016,98.46397
Chile,Americas,2017,98.63917
Colombia,Americas,2000,68.26307
Colombia,Americas,2001,68.64867
Colombia,Americas,2002,69.02969
Colombia,Americas,2003,69.40617
Colombia,Americas,2004,69.77769
Colombia,Americas,2005,70.14428
Colombia,Americas,2006,70.506
Colombia,Americas,2007,70.78502
Colombia,Americas,2008,71.05829
Colombia,Americas,2009,71.32587
